"","V1","V2","V3"
"1","2013/07/01","668501","174915"
"2","2013/08/01","815902","186056"
"3","2013/09/01","889190","145169"
"4","2013/10/01","940266","97446"
"5","2013/11/01","631801","43973"
"6","2013/12/01","424585","19381"
"7","2014/01/01","293146","7254"
"8","2014/02/01","218019","6717"
"9","2014/03/01","416235","22882"
"10","2014/04/01","607733","63047"
"11","2014/05/01","758566","107551"
"12","2014/06/01","818675","118205"
"13","2014/07/01","849778","119064"
"14","2014/08/01","827615","135874"
"15","2014/09/01","854572","99315"
"16","2014/10/01","759628","69083"
"17","2014/11/01","501180","28008"
"18","2014/12/01","382574","16495"
"19","2015/01/01","279924","5628"
"20","2015/02/01","194665","2265"
"21","2015/03/01","328975","12851"
"22","2015/04/01","586177","66213"
"23","2015/05/01","794442","167544"
"24","2015/06/01","810838","130381"
"25","2015/07/01","905314","180362"
"26","2015/08/01","958048","220996"
"27","2015/09/01","1079592","210107"
"28","2015/10/01","1065766","146511"
"29","2015/11/01","886649","100596"
"30","2015/12/01","736248","67877"
"31","2016/01/01","484935","24543"
"32","2016/02/01","531049","29825"
"33","2016/03/01","826683","93238"
"34","2016/04/01","882684","130465"
"35","2016/05/01","1052266","160014"
"36","2016/06/01","1303486","156832"
"37","2016/07/01","1178219","201891"
"38","2016/08/01","1339423","218240"
"39","2016/09/01","1427639","221217"
"40","0","0","0"
"41","0","0","0"
"42","0","0","0"
